Type	Complement Status	Start	End	Gene/Locus Tag	Strand Present?	Position(s)	Position(s) 2	Position(s) 3	Position(s) 4	Position(s) 5	Position(s) 6	Position(s) 7	Position(s) 8	Position(s) 9	
CDS	Not Complement	1104535	1104735	SPNHU17_RS05500	Yes	1104565	1104571	1104616	1104623	1104628	1104688	1104693	1104717	1104721	
CDS	Not Complement	1104833	1105033	SPNHU17_RS05505	Yes	1104891	1104936	1105022	1105029						
CDS	Not Complement	1105883	1106083	SPNHU17_RS05510	Yes	1105994	1106071	1106075							
CDS	Not Complement	1106965	1107165	SPNHU17_RS05515	Yes	1107040	1107153	1107164							
CDS	Not Complement	1107691	1107891	SPNHU17_RS05520	Yes	1107717	1107749	1107785	1107823	1107855	1107880				
CDS	Not Complement	1108976	1109176	SPNHU17_RS05525	Yes	1109018	1109067	1109096	1109164						
CDS	Not Complement	1109627	1109827	SPNHU17_RS05530	Yes	1109656	1109727								
CDS	Not Complement	1110763	1110963	SPNHU17_RS05535	Yes	1110778	1110786	1110790	1110820	1110825	1110850				
CDS	Not Complement	1110993	1111193	SPNHU17_RS05540	Yes	1111008	1111032	1111149	1111177	1111185					
CDS	Not Complement	1111414	1111614	SPNHU17_RS05545	Yes	1111472	1111486	1111537							
CDS	Not Complement	1111757	1111957	SPNHU17_RS05550	Yes	1111794	1111874								
CDS	Not Complement	1112233	1112433	SPNHU17_RS05555	Yes	1112347	1112359	1112416							
CDS	Not Complement	1113467	1113667	SPNHU17_RS05560	Yes	1113511	1113655	1113660							
CDS	Not Complement	1114494	1114694	SPNHU17_RS05565	Yes	1114572									
CDS	Not Complement	1114913	1115113	catA	Yes	1114968	1115056								
CDS	Complement	1117551	1117751	SPNHU17_RS05575	Yes	1117672									
CDS	Not Complement	1117615	1117815	SPNHU17_RS05580											
CDS	Not Complement	1118283	1118483	SPNHU17_RS05585	Yes	1118320	1118395	1118408	1118436						
CDS	Not Complement	1120145	1120345	SPNHU17_RS05590	Yes	1120175	1120249								
CDS	Not Complement	1120460	1120660	SPNHU17_RS05595	Yes	1120493	1120573	1120582							
CDS	Not Complement	1121523	1121723	ylqF	Yes	1121651	1121710	1121715							
CDS	Not Complement	1122361	1122561	SPNHU17_RS05605	Yes	1122383	1122412								
CDS	Not Complement	1123156	1123356	SPNHU17_RS05610	Yes	1123335	1123346	1123351							
CDS	Not Complement	1125292	1125492	xerS	Yes	1125396	1125420	1125439	1125487						
CDS	Complement	1127616	1127816	SPNHU17_RS05620	Yes	1127644	1127651								
CDS	Complement	1129365	1129565	lpdA											
CDS	Complement	1130472	1130672	SPNHU17_RS05630	Yes	1130522	1130531								
CDS	Complement	1131682	1131882	SPNHU17_RS05635											
CDS	Complement	1132666	1132866	SPNHU17_RS05640	Yes	1132746	1132767	1132778							
CDS	Complement	1134181	1134381	pdrM											
CDS	Complement	1134452	1134652	SPNHU17_RS05650											
CDS	Complement	1135734	1135934	SPNHU17_RS05655	Yes	1135759	1135811								
CDS	Complement	1136211	1136411	SPNHU17_RS05660	Yes	1136282									
CDS	Complement	1136874	1137074	SPNHU17_RS05665	Yes	1136928									
CDS	Complement	1137659	1137859	SPNHU17_RS05670											
CDS	Complement	1138386	1138586	SPNHU17_RS05675	Yes	1138408									
CDS	Complement	1138983	1139183	SPNHU17_RS05680	Yes	1139060									
CDS	Complement	1139702	1139902	SPNHU17_RS05685	Yes	1139885									
CDS	Complement	1139997	1140197	SPNHU17_RS05690											
CDS	Complement	1142555	1142755	phtA	Yes	1142560	1142612	1142740	1142753						
CDS	Complement	1144542	1144742	ptsP											
CDS	Complement	1144811	1145011	SPNHU17_RS05705	Yes	1144951									
CDS	Not Complement	1144962	1145162	nrdH											
CDS	Not Complement	1145262	1145462	nrdE	Yes	1145361	1145368	1145405	1145457						
CDS	Not Complement	1147609	1147809	nrdF	Yes	1147636	1147766	1147798							
CDS	Not Complement	1148753	1148953	SPNHU17_RS05725	Yes	1148810	1148843	1148852	1148940						
CDS	Complement	1150172	1150372	SPNHU17_RS05730	Yes	1150200									
CDS	Complement	1151699	1151899	lacG	Yes	1151861									
CDS	Complement	1153605	1153805	SPNHU17_RS05740											
CDS	Complement	1153922	1154122	SPNHU17_RS05745											
CDS	Complement	1154794	1154994	SPNHU17_RS05750	Yes	1154858									
CDS	Complement	1156008	1156208	lacD	Yes	1156164									
CDS	Complement	1156939	1157139	SPNHU17_RS05760	Yes	1157100									
CDS	Complement	1157465	1157665	lacB											
CDS	Complement	1157921	1158121	lacA											
CDS	Complement	1158591	1158791	SPNHU17_RS05775	Yes	1158782									
CDS	Complement	1160621	1160821	lepA											
CDS	Complement	1161428	1161628	SPNHU17_RS05785	Yes	1161557									
CDS	Complement	1163097	1163297	recN											
CDS	Complement	1163535	1163735	SPNHU17_RS05795	Yes	1163664	1163685								
CDS	Complement	1164343	1164543	SPNHU17_RS05800											
CDS	Complement	1165211	1165411	SPNHU17_RS05805	Yes	1165318									
CDS	Complement	1165420	1165620	SPNHU17_RS05810	Yes	1165582									
CDS	Complement	1166738	1166938	xseA	Yes	1166832	1166840								
CDS	Complement	1167504	1167704	udk	Yes	1167620	1167654								
CDS	Complement	1167914	1168114	SPNHU17_RS05825	Yes	1167987									
CDS	Complement	1169033	1169233	truB											
CDS	Complement	1170317	1170517	SPNHU17_RS05835	Yes	1170368									
CDS	Complement	1171672	1171872	SPNHU17_RS05840	Yes	1171763	1171785	1171791							
CDS	Complement	1172617	1172817	SPNHU17_RS05845	Yes	1172715	1172755								
CDS	Complement	1173604	1173804	srtA	Yes	1173673	1173743								
CDS	Complement	1176072	1176272	gyrA	Yes	1176231									
CDS	Not Complement	1176066	1176266	SPNHU17_RS05860											
CDS	Complement	1178273	1178473	SPNHU17_RS05865											
CDS	Complement	1178574	1178774	SPNHU17_RS05870	Yes	1178739	1178745								
CDS	Complement	1178818	1179018	SPNHU17_RS05875											
CDS	Complement	1179718	1179918	SPNHU17_RS05880											
CDS	Complement	1181069	1181269	vicK											
CDS	Complement	1181766	1181966	yycF	Yes	1181918	1181942								
CDS	Complement	1182996	1183196	mutY	Yes	1183098									
CDS	Complement	1185267	1185467	SPNHU17_RS05900	Yes	1185418									
CDS	Not Complement	1185297	1185497	coaB											
CDS	Not Complement	1185998	1186198	coaC	Yes	1186108	1186142	1186163	1186189	1186194					
CDS	Not Complement	1186533	1186733	SPNHU17_RS05915	Yes	1186608	1186618	1186714	1186726						
CDS	Not Complement	1187360	1187560	SPNHU17_RS05920	Yes	1187361	1187383								
CDS	Not Complement	1187899	1188099	SPNHU17_RS05925	Yes	1187977	1188077	1188094							
CDS	Complement	1189078	1189278	SPNHU17_RS05930	Yes	1189251									
CDS	Complement	1189640	1189840	SPNHU17_RS05935	Yes	1189827									
CDS	Complement	1190169	1190369	SPNHU17_RS05940											
CDS	Complement	1192167	1192367	uvrB	Yes	1192229									
CDS	Complement	1193198	1193398	SPNHU17_RS05950	Yes	1193263	1193269	1193299	1193355	1193376					
CDS	Not Complement	1193168	1193368	SPNHU17_RS05955											
CDS	Not Complement	1195333	1195533	SPNHU17_RS05960	Yes	1195509	1195519								
CDS	Not Complement	1196222	1196422	zwf	Yes	1196243	1196339	1196365	1196409						
CDS	Complement	1199232	1199432	ftsY											
CDS	Complement	1200054	1200254	SPNHU17_RS05975											
CDS	Complement	1200848	1201048	SPNHU17_RS05980	Yes	1200885	1200897								
CDS	Complement	1204384	1204584	smc	Yes	1204529									
CDS	Complement	1205073	1205273	rnc	Yes	1205155	1205221								
tRNA	Complement	1205327	1205527	SPNHU17_RS05995	Yes	1205330	1205351	1205485							
CDS	Complement	1206377	1206577	SPNHU17_RS06000	Yes	1206542	1206551								
CDS	Complement	1207868	1208068	SPNHU17_RS06005	Yes	1208067									
CDS	Complement	1209786	1209986	SPNHU17_RS06010	Yes	1209875	1209881	1209886							
CDS	Complement	1210575	1210775	SPNHU17_RS10975	Yes	1210667									
CDS	Complement	1211096	1211296	SPNHU17_RS06030	Yes	1211150	1211192								
CDS	Complement	1211369	1211569	SPNHU17_RS06035	Yes	1211501	1211541								
CDS	Complement	1212403	1212603	leuB	Yes	1212443									
CDS	Complement	1213452	1213652	SPNHU17_RS06045	Yes	1213469	1213503	1213513							
CDS	Complement	1214184	1214384	SPNHU17_RS06050	Yes	1214192									
CDS	Complement	1214860	1215060	SPNHU17_RS06055	Yes	1214980	1215056								
CDS	Complement	1215312	1215512	SPNHU17_RS06060	Yes	1215396									
CDS	Complement	1217505	1217705	topA	Yes	1217594	1217651	1217671							
CDS	Complement	1218715	1218915	SPNHU17_RS06070	Yes	1218879									
CDS	Complement	1219741	1219941	SPNHU17_RS06075	Yes	1219901	1219907								
CDS	Complement	1220513	1220713	SPNHU17_RS06080											
CDS	Complement	1221308	1221508	SPNHU17_RS06085	Yes	1221507									
CDS	Complement	1222198	1222398	SPNHU17_RS06090	Yes	1222354	1222389								
CDS	Complement	1223057	1223257	licA											
CDS	Complement	1224096	1224296	SPNHU17_RS06100	Yes	1224255									
CDS	Complement	1224808	1225008	SPNHU17_RS06105	Yes	1224883	1224939	1225000							
CDS	Not Complement	1224944	1225144	tacF	Yes	1225040	1225062	1225128							
CDS	Not Complement	1226441	1226641	SPNHU17_RS06115											
CDS	Not Complement	1227246	1227446	SPNHU17_RS06120	Yes	1227259	1227337	1227397							
CDS	Complement	1231706	1231906	carB	Yes	1231902									
CDS	Complement	1233098	1233298	SPNHU17_RS06130											
CDS	Complement	1234071	1234271	SPNHU17_RS06135											
CDS	Complement	1234611	1234811	pyrR	Yes	1234631	1234658								
CDS	Complement	1235451	1235651	nth											
CDS	Complement	1235993	1236193	SPNHU17_RS06150	Yes	1236035	1236133	1236177							
CDS	Not Complement	1235963	1236163	SPNHU17_RS06155											
CDS	Not Complement	1236644	1236844	SPNHU17_RS06160	Yes	1236674	1236690	1236833							
CDS	Complement	1239314	1239514	htpX	Yes	1239382	1239430	1239491							
CDS	Complement	1239876	1240076	SPNHU17_RS06170	Yes	1239964	1239975	1239982							
CDS	Not Complement	1239770	1239970	rsmG											
CDS	Complement	1242087	1242287	SPNHU17_RS06180	Yes	1242114									
CDS	Complement	1242372	1242572	SPNHU17_RS06185											
CDS	Not Complement	1242156	1242356	SPNHU17_RS10980											
CDS	Complement	1243063	1243263	SPNHU17_RS06190											
CDS	Complement	1243482	1243682	SPNHU17_RS06195	Yes	1243510	1243562								
CDS	Not Complement	1243787	1243987	SPNHU17_RS06200											
CDS	Complement	1244567	1244767	SPNHU17_RS06205	Yes	1244657									
CDS	Complement	1245679	1245879	SPNHU17_RS06210											
CDS	Complement	1246925	1247125	SPNHU17_RS06215											
CDS	Complement	1247057	1247257	SPNHU17_RS06220											
CDS	Complement	1248237	1248437	SPNHU17_RS06225	Yes	1248323	1248392	1248396							
CDS	Complement	1249235	1249435	SPNHU17_RS06230											
CDS	Complement	1251409	1251609	SPNHU17_RS06235											
CDS	Complement	1253859	1254059	SPNHU17_RS06240	Yes	1254029	1254058								
CDS	Complement	1254349	1254549	SPNHU17_RS06245	Yes	1254376									
CDS	Complement	1254821	1255021	SPNHU17_RS06250	Yes	1254905									
CDS	Complement	1255159	1255359	SPNHU17_RS06255	Yes	1255325									
CDS	Not Complement	1255139	1255339	SPNHU17_RS06260											
CDS	Complement	1257580	1257780	erm(B)											
CDS	Complement	1257788	1257988	SPNHU17_RS06270											
CDS	Complement	1258004	1258204	SPNHU17_RS10985											
CDS	Complement	1259255	1259455	SPNHU17_RS06275	Yes	1259304									
CDS	Complement	1259430	1259630	SPNHU17_RS06280	Yes	1259517	1259613								
CDS	Complement	1260818	1261018	SPNHU17_RS06285	Yes	1260824									
CDS	Complement	1261233	1261433	SPNHU17_RS06290	Yes	1261369									
CDS	Complement	1261563	1261763	SPNHU17_RS06295											
CDS	Not Complement	1261995	1262195	SPNHU17_RS06300	Yes	1262003	1262091								
CDS	Complement	1265145	1265345	ffh	Yes	1265207									
CDS	Complement	1265489	1265689	SPNHU17_RS06310	Yes	1265568									
CDS	Complement	1265957	1266157	SPNHU17_RS06315	Yes	1266038									
CDS	Not Complement	1265829	1266029	SPNHU17_RS06320											
CDS	Not Complement	1267146	1267346	yidA	Yes	1267240	1267244	1267342							
CDS	Not Complement	1267995	1268195	SPNHU17_RS06330	Yes	1268009	1268057	1268064	1268072	1268101					
tRNA	Complement	1269431	1269631	SPNHU17_RS06335	Yes	1269452									
CDS	Complement	1269820	1270020	rplS	Yes	1269937									
CDS	Complement	1270268	1270468	crcB	Yes	1270392									
CDS	Complement	1270636	1270836	crcB	Yes	1270685									
CDS	Complement	1270899	1271099	SPNHU17_RS06355	Yes	1270978	1271085								
CDS	Complement	1271458	1271658	SPNHU17_RS06360	Yes	1271539	1271546	1271589	1271633						
CDS	Not Complement	1271362	1271562	SPNHU17_RS06365											
CDS	Not Complement	1272351	1272551	SPNHU17_RS06370	Yes	1272384	1272453	1272459							
CDS	Complement	1273380	1273580	SPNHU17_RS06375	Yes	1273406									
CDS	Complement	1274130	1274330	SPNHU17_RS06380	Yes	1274159									
CDS	Complement	1274281	1274481	SPNHU17_RS06385											
CDS	Not Complement	1275134	1275334	gdhA	Yes	1275172	1275187	1275238	1275251	1275277					
CDS	Complement	1277346	1277546	SPNHU17_RS06395											
CDS	Complement	1277700	1277900	SPNHU17_RS06400											
CDS	Not Complement	1277900	1278100	SPNHU17_RS06405											
CDS	Complement	1278899	1279099	SPNHU17_RS06410											
CDS	Complement	1279188	1279388	SPNHU17_RS06420	Yes	1279233	1279258	1279300							
CDS	Not Complement	1279573	1279773	SPNHU17_RS06425	Yes	1279616	1279703	1279746							
CDS	Complement	1281334	1281534	SPNHU17_RS06430											
CDS	Complement	1281634	1281834	SPNHU17_RS06435	Yes	1281650									
CDS	Complement	1282321	1282521	SPNHU17_RS06440											
CDS	Complement	1283729	1283929	SPNHU17_RS06445	Yes	1283785	1283818								
CDS	Complement	1285505	1285705	SPNHU17_RS06450											
CDS	Complement	1285888	1286088	SPNHU17_RS06455											
CDS	Complement	1286885	1287085	SPNHU17_RS06460	Yes	1286999	1287053								
CDS	Complement	1287531	1287731	SPNHU17_RS06465	Yes	1287722									
CDS	Complement	1288041	1288241	SPNHU17_RS06470	Yes	1288110	1288200								
CDS	Complement	1290048	1290248	SPNHU17_RS06475	Yes	1290108	1290201								
CDS	Complement	1290361	1290561	SPNHU17_RS06480	Yes	1290399	1290413								
CDS	Complement	1291276	1291476	SPNHU17_RS06485	Yes	1291392	1291455								
CDS	Complement	1292542	1292742	SPNHU17_RS06490											
CDS	Complement	1294804	1295004	SPNHU17_RS06495											
CDS	Complement	1295264	1295464	SPNHU17_RS06500	Yes	1295398	1295419								
CDS	Complement	1296824	1297024	SPNHU17_RS06505											
CDS	Complement	1297769	1297969	SPNHU17_RS06510											
CDS	Complement	1298495	1298695	SPNHU17_RS06515	Yes	1298601	1298671								
CDS	Complement	1299309	1299509	SPNHU17_RS06520	Yes	1299397									
CDS	Complement	1300195	1300395	SPNHU17_RS06525											
CDS	Complement	1301756	1301956	SPNHU17_RS06530	Yes	1301834									
CDS	Complement	1302499	1302699	SPNHU17_RS06535	Yes	1302529	1302596	1302611							
CDS	Complement	1303134	1303334	SPNHU17_RS06540	Yes	1303315									
CDS	Complement	1304726	1304926	SPNHU17_RS06545	Yes	1304802	1304808	1304826	1304855						
CDS	Complement	1306418	1306618	SPNHU17_RS06550	Yes	1306432	1306473								
CDS	Complement	1307114	1307314	rplL	Yes	1307269	1307281								
CDS	Complement	1307690	1307890	rplJ	Yes	1307742	1307767								
CDS	Complement	1309199	1309399	SPNHU17_RS06565											
CDS	Complement	1311624	1311824	SPNHU17_RS06570	Yes	1311802									
CDS	Complement	1313350	1313550	SPNHU17_RS06575	Yes	1313377	1313385	1313537							
CDS	Complement	1314346	1314546	msrB	Yes	1314390									
CDS	Complement	1315510	1315710	thrB	Yes	1315558	1315675								
CDS	Complement	1316798	1316998	SPNHU17_RS06590	Yes	1316814	1316851	1316892	1316930	1316945					
CDS	Complement	1317686	1317886	mecA	Yes	1317810	1317831								
CDS	Complement	1318920	1319120	SPNHU17_RS06600	Yes	1319033	1319043								
CDS	Complement	1320382	1320582	SPNHU17_RS06605	Yes	1320456	1320503	1320519							
CDS	Complement	1321384	1321584	SPNHU17_RS06610											
CDS	Complement	1322489	1322689	SPNHU17_RS06615	Yes	1322659									
CDS	Complement	1323324	1323524	SPNHU17_RS06620	Yes	1323372	1323459								
CDS	Complement	1324877	1325077	psr	Yes	1325015									
CDS	Complement	1325722	1325922	pheA	Yes	1325814	1325850								
CDS	Complement	1326195	1326395	SPNHU17_RS06635	Yes	1326224									
CDS	Complement	1327471	1327671	aroA	Yes	1327525	1327582	1327615							
CDS	Complement	1327901	1328101	SPNHU17_RS06645	Yes	1327994									
CDS	Complement	1329015	1329215	SPNHU17_RS06650											
CDS	Complement	1330191	1330391	aroC	Yes	1330238									
CDS	Complement	1331268	1331468	aroB	Yes	1331358									
CDS	Complement	1332141	1332341	SPNHU17_RS06665	Yes	1332180	1332282								
CDS	Complement	1332808	1333008	aroD	Yes	1332962									
CDS	Complement	1333968	1334168	SPNHU17_RS06675	Yes	1334012	1334146	1334167							
CDS	Complement	1336287	1336487	SPNHU17_RS06680	Yes	1336293	1336458								
CDS	Complement	1337017	1337217	SPNHU17_RS06685	Yes	1337191									
CDS	Not Complement	1336996	1337196	SPNHU17_RS06690											
CDS	Complement	1341358	1341558	alaS	Yes	1341435	1341551								
CDS	Complement	1341865	1342065	SPNHU17_RS06700	Yes	1341913	1342045								
CDS	Complement	1342379	1342579	SPNHU17_RS06705	Yes	1342545									
CDS	Complement	1343694	1343894	SPNHU17_RS06710	Yes	1343759	1343794	1343839							
CDS	Complement	1344464	1344664	SPNHU17_RS06715	Yes	1344565									
CDS	Complement	1345267	1345467	SPNHU17_RS06720											
CDS	Complement	1346405	1346605	SPNHU17_RS06725											
CDS	Complement	1347471	1347671	murB	Yes	1347565									
CDS	Complement	1348342	1348542	SPNHU17_RS06735	Yes	1348433									
CDS	Complement	1349083	1349283	budA	Yes	1349159	1349185	1349233	1349269						
CDS	Not Complement	1349025	1349225	SPNHU17_RS06745											
CDS	Complement	1351331	1351531	SPNHU17_RS06750											
CDS	Complement	1352141	1352341	phoU	Yes	1352255									
CDS	Complement	1352911	1353111	pstB	Yes	1352981									
CDS	Complement	1353727	1353927	pstB											
CDS	Complement	1354622	1354822	pstA											
CDS	Complement	1355529	1355729	pstC	Yes	1355660									
CDS	Complement	1356407	1356607	pstS	Yes	1356424									
CDS	Complement	1358285	1358485	SPNHU17_RS06785	Yes	1358372									
CDS	Complement	1359059	1359259	SPNHU17_RS06790	Yes	1359065									
CDS	Complement	1359327	1359527	SPNHU17_RS06795	Yes	1359392	1359508								
CDS	Complement	1359728	1359928	SPNHU17_RS06800	Yes	1359805	1359827								
CDS	Complement	1360557	1360757	SPNHU17_RS06805	Yes	1360584									
CDS	Complement	1361320	1361520	SPNHU17_RS06810											
CDS	Complement	1362068	1362268	SPNHU17_RS06815	Yes	1362248									
CDS	Complement	1363203	1363403	hemW											
CDS	Complement	1363676	1363876	SPNHU17_RS06825	Yes	1363704	1363816								
CDS	Complement	1364075	1364275	SPNHU17_RS06830	Yes	1364241									
CDS	Complement	1364864	1365064	lgt	Yes	1365035									
CDS	Complement	1365792	1365992	hprK	Yes	1365889									
CDS	Complement	1366098	1366298	rpsU	Yes	1366214									
CDS	Complement	1366945	1367145	SPNHU17_RS06850	Yes	1367009	1367048	1367081							
CDS	Not Complement	1366896	1367096	queA											
CDS	Complement	1369878	1370078	SPNHU17_RS10990											
CDS	Complement	1371177	1371377	SPNHU17_RS06870	Yes	1371243	1371291	1371348							
CDS	Complement	1372399	1372599	nadE											
CDS	Complement	1373856	1374056	SPNHU17_RS06880	Yes	1373882	1373891	1373960							
CDS	Complement	1374460	1374660	SPNHU17_RS06885											
CDS	Complement	1374659	1374859	SPNHU17_RS06890	Yes	1374779	1374803								
CDS	Complement	1375773	1375973	SPNHU17_RS06895	Yes	1375969									
CDS	Complement	1376553	1376753	SPNHU17_RS06900											
CDS	Complement	1378038	1378238	SPNHU17_RS06905	Yes	1378104	1378163								
CDS	Complement	1378609	1378809	SPNHU17_RS06910											
CDS	Complement	1380176	1380376	SPNHU17_RS06915	Yes	1380318	1380357								
CDS	Not Complement	1380573	1380773	SPNHU17_RS10995	Yes	1380581	1380590	1380617	1380638	1380712	1380727	1380731	1380740	1380754	
CDS	Not Complement	1381151	1381351	SPNHU17_RS06930	Yes	1381220	1381246								
CDS	Complement	1384179	1384379	guaA	Yes	1384201	1384298	1384307	1384317	1384341					
CDS	Not Complement	1384121	1384321	SPNHU17_RS06940											
CDS	Complement	1385958	1386158	SPNHU17_RS06945	Yes	1386060									
CDS	Complement	1386902	1387102	SPNHU17_RS06950											
CDS	Complement	1387624	1387824	SPNHU17_RS06955											
CDS	Complement	1388343	1388543	SPNHU17_RS06960											
CDS	Complement	1389172	1389372	SPNHU17_RS06965	Yes	1389355									
CDS	Complement	1389530	1389730	SPNHU17_RS06970											
CDS	Complement	1390247	1390447	SPNHU17_RS06975	Yes	1390309									
CDS	Not Complement	1390560	1390760	def	Yes	1390672	1390759								
CDS	Not Complement	1391216	1391416	rlmB	Yes	1391231	1391282	1391327	1391376						
CDS	Complement	1393094	1393294	trxB	Yes	1393172									
CDS	Complement	1393384	1393584	SPNHU17_RS06995											
CDS	Complement	1394205	1394405	SPNHU17_RS07000	Yes	1394254	1394277								
CDS	Complement	1395005	1395205	SPNHU17_RS07005	Yes	1395061	1395119								
CDS	Complement	1395519	1395719	SPNHU17_RS07010											
CDS	Complement	1396044	1396244	SPNHU17_RS07015	Yes	1396169									
CDS	Complement	1396538	1396738	SPNHU17_RS07020	Yes	1396672	1396678	1396709							
CDS	Not Complement	1396473	1396673	SPNHU17_RS07025											
CDS	Not Complement	1396916	1397116	SPNHU17_RS07030	Yes	1396931									
CDS	Complement	1398365	1398565	pdxT	Yes	1398531									
CDS	Complement	1399241	1399441	pdxS											
CDS	Complement	1400772	1400972	SPNHU17_RS07045	Yes	1400955									
CDS	Not Complement	1400866	1401066	SPNHU17_RS07050	Yes	1400988	1400994	1401053							
CDS	Not Complement	1401849	1402049	SPNHU17_RS07055	Yes	1401855	1401882	1401912	1402039	1402044					
CDS	Not Complement	1402473	1402673	SPNHU17_RS07060	Yes	1402540	1402589	1402646							
CDS	Complement	1404290	1404490	SPNHU17_RS07065	Yes	1404458									
CDS	Complement	1406368	1406568	glyS	Yes	1406383									
CDS	Complement	1407497	1407697	glyQ	Yes	1407654									
CDS	Complement	1408452	1408652	SPNHU17_RS07080	Yes	1408541	1408581	1408593							
CDS	Complement	1409567	1409767	SPNHU17_RS07085											
CDS	Complement	1411072	1411272	SPNHU17_RS07090	Yes	1411267									
CDS	Complement	1411678	1411878	SPNHU17_RS07095	Yes	1411796	1411801	1411819	1411838						
CDS	Not Complement	1411717	1411917	SPNHU17_RS07100	Yes	1411886	1411906								
CDS	Not Complement	1412691	1412891	SPNHU17_RS07105	Yes	1412707	1412889								
CDS	Complement	1415742	1415942	tuf	Yes	1415899									
CDS	Complement	1417522	1417722	SPNHU17_RS07115	Yes	1417602	1417673	1417697							
CDS	Complement	1418423	1418623	SPNHU17_RS07120											
CDS	Complement	1419460	1419660	SPNHU17_RS07125											
CDS	Complement	1419825	1420025	SPNHU17_RS07130											
CDS	Complement	1420634	1420834	SPNHU17_RS07140											
CDS	Not Complement	1421279	1421479	SPNHU17_RS07145	Yes	1421327									
CDS	Not Complement	1423108	1423308	SPNHU17_RS07150	Yes	1423132	1423177	1423264	1423294						
CDS	Complement	1424769	1424969	SPNHU17_RS07155											
CDS	Complement	1425411	1425611	SPNHU17_RS07160	Yes	1425461	1425572								
CDS	Complement	1426062	1426262	SPNHU17_RS07165											
CDS	Complement	1427437	1427637	SPNHU17_RS07170	Yes	1427496	1427506								
CDS	Complement	1428593	1428793	SPNHU17_RS07175	Yes	1428637	1428742	1428746							
CDS	Not Complement	1428537	1428737	SPNHU17_RS07180											
CDS	Complement	1430214	1430414	SPNHU17_RS07185											
CDS	Complement	1431631	1431831	atpD											
CDS	Complement	1432595	1432795	SPNHU17_RS07195	Yes	1432637	1432752	1432788							
CDS	Complement	1434116	1434316	atpA											
CDS	Complement	1434667	1434867	SPNHU17_RS07205											
CDS	Complement	1435161	1435361	atpF	Yes	1435254	1435266	1435329							
CDS	Complement	1435891	1436091	atpB	Yes	1435965	1436009	1436017							
CDS	Complement	1436126	1436326	SPNHU17_RS07220											
CDS	Complement	1436460	1436660	SPNHU17_RS07225	Yes	1436577	1436630	1436654							
CDS	Complement	1437279	1437479	SPNHU17_RS07230	Yes	1437296	1437301	1437359	1437433						
CDS	Complement	1438534	1438734	greA	Yes	1438572									
CDS	Complement	1440260	1440460	mltG											
CDS	Complement	1440835	1441035	SPNHU17_RS07245	Yes	1440944									
CDS	Complement	1441296	1441496	SPNHU17_RS07250	Yes	1441424									
CDS	Complement	1442640	1442840	murC	Yes	1442749									
CDS	Complement	1443268	1443468	SPNHU17_RS07260	Yes	1443335									
CDS	Complement	1446414	1446614	SPNHU17_RS07265	Yes	1446465									
CDS	Complement	1447673	1447873	SPNHU17_RS07270											
CDS	Complement	1448775	1448975	SPNHU17_RS07275											
CDS	Complement	1449654	1449854	SPNHU17_RS07280	Yes	1449798	1449818								
CDS	Complement	1450568	1450768	SPNHU17_RS11000											
CDS	Complement	1452737	1452937	SPNHU17_RS07295	Yes	1452821	1452846								
CDS	Complement	1454563	1454763	SPNHU17_RS07300	Yes	1454595	1454666	1454684	1454707	1454726					
CDS	Not Complement	1454469	1454669	SPNHU17_RS07305											
CDS	Complement	1456354	1456554	SPNHU17_RS07310	Yes	1456426	1456447	1456454	1456470						
CDS	Complement	1457051	1457251	SPNHU17_RS11005											
CDS	Complement	1457600	1457800	SPNHU17_RS07325	Yes	1457616	1457629	1457738	1457785						
CDS	Complement	1458621	1458821	SPNHU17_RS07330											
CDS	Complement	1458991	1459191	SPNHU17_RS07335											
CDS	Complement	1459730	1459930	SPNHU17_RS07340	Yes	1459846	1459881	1459900							
CDS	Complement	1460143	1460343	SPNHU17_RS07345											
CDS	Complement	1461545	1461745	SPNHU17_RS07350	Yes	1461650	1461668								
CDS	Complement	1462078	1462278	rpsR	Yes	1462135	1462180								
CDS	Complement	1462451	1462651	SPNHU17_RS07360	Yes	1462517	1462591								
CDS	Complement	1462752	1462952	rpsF	Yes	1462839	1462877								
CDS	Complement	1464248	1464448	asnS	Yes	1464439									
CDS	Complement	1464633	1464833	SPNHU17_RS07375											
CDS	Complement	1465813	1466013	SPNHU17_RS07380	Yes	1465955	1465979								
CDS	Complement	1466298	1466498	SPNHU17_RS07385	Yes	1466358	1466453	1466459							
CDS	Not Complement	1466419	1466619	SPNHU17_RS07390	Yes	1466502	1466595	1466605							
CDS	Complement	1468173	1468373	yaaA	Yes	1468212	1468223	1468355							
CDS	Complement	1468416	1468616	SPNHU17_RS07400	Yes	1468471									
CDS	Complement	1470078	1470278	SPNHU17_RS07405											
CDS	Complement	1470500	1470700	SPNHU17_RS07410											
CDS	Complement	1471407	1471607	yghU	Yes	1471413	1471493								
CDS	Complement	1474116	1474316	SPNHU17_RS07420	Yes	1474235									
CDS	Not Complement	1474220	1474420	mntE	Yes	1474375	1474410								
CDS	Complement	1477618	1477818	SPNHU17_RS07430											
CDS	Complement	1478799	1478999	SPNHU17_RS07435											
CDS	Complement	1479578	1479778	dapB	Yes	1479625	1479736	1479766							
CDS	Complement	1480703	1480903	SPNHU17_RS07445											
CDS	Complement	1481079	1481279	SPNHU17_RS07450											
CDS	Complement	1482505	1482705	glmM											
